color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook S14 S410UN-EB055T (90NB0GT2-M00800) Grey (HBN0GR04N216477) - Уцінка,21807, Windows 10 ,20447, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 128 ГБ ,, 1.3 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб камера '", Intel HD Graphics 405 ,, HDD 1 ТБ ,Ноутбук HP 250 G6 (2HG40ES) Dark Ash (CND7311BH3) - Уцінка,10799, Windows 10 Home 64bit ,8822, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02Q9RA) Onyx Black (SPF10J8HK) - Уцінка,17399, DOS ,13675, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 2.2 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB056T) Grey (HBN0GR032901464) - Уцінка,29099, Windows 10 ,25109, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.43 кг 
 без клавіатури,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 Professional 64bit '", Intel HD Graphics 520 ,,,Ноутбук Asus Transformer 3 Pro T303UA (T303UA-GN063R) Grey (H1N0CY00402201E) - Уцінка,29699, 1.1 кг ,21916, Intel Core i7-6500U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,P,"12.6""", SSD 256 ГБ ,, сірий 
 червоний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM038) Red (H9N0CV054068366) - Уцінка,18899, без ОС ,16058, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.15 кг 
рожево-золотистий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce MX150, 2 ГБ,,Ноутбук Asus ZenBook UX430UN (UX430UN-GV047T) Rose Gold (HBN0CV16D38347E) - Уцінка,30399,Windows 10,26099,Intel Core i5-8250U (1.6 - 3.4 ГГц),RAM 8 ГБ,матовий,1920x1080,"14.0""",,,1.3 кг
 серебристый,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 4 ГБ , HDD 2 ТБ ,Ноутбук HP Pavilion 15-cc532ur (2CT31EA) Silver (5CD745B3SZ) - Уцінка,29018, Windows 10 Home 64bit ,24795, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 8 ГБ ,матовый,P,15.6”, SSD 128 ГБ ,, 1.82 кг 
 бронзовий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 520-15IKB (80YL00STRA) Bronze (SPF0V2617) - Уцінка,16772, Windows 10 Home ,13676, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 950M, 4 ГБ , HDD 2 ТБ ,Ноутбук HP Envy 15-ae003ur (N0K97EA) (CND5434WKG) - Уцінка,26999, Windows 8.1 64bit ,19620, Intel Core i7-5500U (2.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"15.6""",,, 2.36 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 515 ,,,Ноутбук Dell Latitude 7370 (210-AHGT-M5-8-256) carbon (JHX6NN2) - Уцінка,23599, Windows 10 Pro 64bit ,21999, Intel Core M5-6Y57 (1.1 - 2.8 ГГц) , RAM 8 ГБ ,покриттям,P,"13.3""", SSD 256 ГБ ,, 1.12 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo Yoga 520-14IKB (81C800DCRA) Mineral Grey (SMP1CNGU2) - Уцінка,29958, Windows 10 Home ,27719, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 256 ГБ ,, 1.74 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Lenovo IdeaPad 320S-13IKB (81AK00ALRA) Mineral Grey (SYD03V2TY) - Уцінка,21999, DOS ,19799, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 256 ГБ ,, 1.2 кг 
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook 13 UX331UN-EG009T (90NB0GY1-M00100) Blue (J4N0CV07P003179) - Уцінка,30998, 1.12 кг ,28499, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,, синій 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук ASUS ZenBook 3 Deluxe UX490UA-BE022R (90NB0EI3-M01530) Gray (H5N0CY009173196) - Уцінка,39546, Windows 10 Professional 64bit ,36575, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,глянсовий,P,"14.0""", SSD 1 ТБ ,, 1.2 кг 
сірий металік,,"'без ОД', 'LAN', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce GTX 1050, 4 ГБ,,Asus VivoBook Pro 15 N580VD (N580VD-FI434T) Grey Metal (HAN0CV19U649435) - Уцінка,41499,Windows 10,39359,Intel Core i7-7700HQ (2.8 - 3.8 ГГц),RAM 16 ГБ,матовий,3840X2160,"15.6""", SSD 512 ГБ,,1.99 кг
